     Class     Images  Instances      Box(P          R      mAP50  mAP50-95):
       all       1883       3654      0.911      0.855      0.926      0.782
       A-1          6          6      0.857          1      0.995      0.841
       A-2          6          7          1      0.783      0.995      0.903
       A-3          6         10      0.871          1      0.995      0.769
       A-4          7          7          1      0.853      0.978      0.788
       A-5          8          8      0.886      0.976      0.982      0.812
       A-6         50         64      0.967      0.938      0.975      0.872
       A-7        136        175      0.939       0.96      0.986      0.846
       A-8         15         21      0.904      0.896      0.964      0.826
    A-9/10          8          8      0.933          1      0.995      0.803
      A-11         28         29          1      0.924      0.962      0.837
      A-12         18         22      0.831      0.818      0.923      0.748
      A-14         18         23          1       0.69      0.823      0.669
      A-15          7          7          1      0.705      0.924      0.871
      A-16         43         53      0.973      0.906       0.95      0.846
      A-17         19         19      0.913      0.895      0.916      0.797
      A-18         15         18      0.892      0.922      0.925      0.792
      A-20         11         12       0.95       0.75      0.931      0.817
      A-21         14         18      0.826      0.791      0.806      0.639
      A-24         18         22      0.937      0.818      0.941      0.801
      A-29         11         14      0.941      0.929       0.99       0.86
      A-30         24         28      0.938      0.964      0.988       0.82
      A-32         14         16          1      0.812      0.914      0.786
       B-1         15         15          1       0.72      0.857      0.775
       B-2         30         30      0.965      0.907      0.956      0.802
       B-5         34         34      0.912      0.971      0.977      0.869
       B-9         20         22      0.934      0.909      0.984      0.902
   B-15-19         21         24      0.817      0.708      0.832      0.725
      B-20         27         29      0.953      0.966       0.99      0.874
      B-21         23         25          1      0.936      0.962      0.858
      B-22         12         12          1      0.962      0.995      0.923
      B-23         13         15      0.862      0.933      0.943      0.812
   B-25/26         20         21      0.935       0.81      0.902      0.826
      B-32         10         17      0.926      0.736      0.825      0.619
      B-33        139        177       0.95       0.96      0.983      0.849
      B-42          9         10      0.772        0.7      0.769      0.648
      B-36        126        128      0.911      0.922      0.961      0.828
      B-41          5          5      0.894        0.8       0.92      0.766
      B-43         12         13      0.927      0.972       0.99      0.746
      B-44          7          7       0.76      0.714      0.712      0.597
       C-2         10         10      0.967        0.8      0.883      0.768
       C-4          6          7      0.962      0.714      0.843      0.767
       C-5         23         25       0.95      0.764      0.937      0.828
       C-6          4          5          1      0.981      0.995      0.865
       C-9         58         58      0.962      0.883      0.975      0.859
      C-10          7          7      0.937      0.857       0.93      0.783
      C-11         10         10      0.924          1      0.995       0.93
      C-12         62         85      0.911      0.965      0.978       0.84
   C-13/16         31         32      0.742      0.969      0.888      0.744
       D-1        107        111      0.922      0.973      0.986      0.856
       D-2         29         40      0.968      0.975      0.993      0.817
       D-3         72         76      0.894      0.934      0.951      0.809
       D-4         11         11          1      0.742      0.942      0.802
       D-6        195        247      0.895      0.935      0.962      0.825
       D-7          6          8      0.695       0.75      0.927      0.769
       D-8          3          4      0.793      0.966      0.945      0.835
       D-9          5          7      0.958          1      0.995      0.797
      D-10          5          8      0.872          1      0.995      0.875
   D-11/12          9          9      0.806      0.927      0.938      0.828
      D-14         10         17      0.944      0.941      0.992      0.869
D-15/16/17         38         39      0.922      0.914      0.961      0.804
      D-18         60         68      0.871      0.838      0.897      0.724
      D-23         14         14      0.809      0.714      0.835       0.65
   D-23-29         15         19      0.567      0.484      0.662       0.46
      D-40          9          9      0.912      0.778      0.893      0.746
      D-42         13         14      0.895      0.857       0.91      0.755
      D-43         13         14      0.822       0.66      0.773      0.649
      D-45         10         10      0.925          1      0.995      0.826
   D-46/52          8          8      0.869      0.875      0.863      0.744
      D-50          5          5      0.809          1      0.995      0.915
     F-5/6         69         74      0.938      0.905      0.978      0.862
       F-7          3          4          1          0      0.656      0.557
      F-10        187        233      0.923      0.957       0.96      0.825
      F-11         13         39      0.937      0.761      0.919      0.822
      F-14         16         16      0.978          1      0.995       0.84
    DETOUR         29         32      0.893      0.781      0.841      0.683
       G-1         15         17      0.851      0.672      0.769      0.591
       G-2          9          9          1      0.714      0.995      0.745
     G-3/4         11         12      0.956      0.583      0.817      0.633
      P-8a        237        315      0.885       0.93      0.958      0.798
      P-8b        125        142      0.902      0.776      0.914       0.77
      P-8d        179        203       0.88       0.87        0.9      0.742
      P-8e         72         89      0.838      0.876      0.903      0.752
      P-8f        145        179       0.87      0.895      0.945      0.768
      P-8i         31         59      0.941      0.966      0.982      0.853
      P-9a         61         63      0.944      0.801      0.942      0.608
      P-9b         20         20      0.993       0.85      0.906      0.504
