 Class     Images  Instances      Box(P          R      mAP50  mAP50-95)
   all       1379       3533      0.807      0.798      0.851      0.714
   A-1          5          5      0.713        0.8       0.82      0.588
   A-2          1          1      0.607          1      0.995      0.895
   A-3          9         15          1      0.976      0.995      0.831
   A-4          2          2       0.51          1      0.995      0.947
   A-5          2          2      0.699        0.5      0.508      0.407
   A-6         42         56      0.853      0.964      0.945      0.802
   A-7        192        271      0.954       0.93      0.975      0.835
   A-8          8         12          1      0.906      0.927      0.763
   A-9          1          1      0.589          1      0.995      0.995
  A-11         12         12      0.913      0.871      0.968      0.821
  A-12         13         15          1      0.667      0.847       0.72
  A-14         18         20      0.803      0.813       0.92      0.803
  A-15          2          2      0.618        0.5      0.745      0.671
  A-16         12         20      0.693       0.85      0.908      0.767
  A-17          8          9      0.629      0.778      0.834      0.607
  A-18         10         13      0.642      0.923      0.713      0.611
  A-20          5          6      0.608      0.781      0.828      0.721
  A-21         11         15      0.888      0.867      0.871      0.689
  A-24         13         20      0.666          1      0.906      0.782
  A-29          3          3       0.75          1      0.995      0.864
  A-30         29         34      0.884      0.912      0.959      0.823
  A-32         14         16       0.63          1      0.926      0.775
   B-1         23         23       0.89       0.87      0.909      0.741
   B-2         22         23      0.887      0.783      0.875      0.739
   B-5         19         20      0.801       0.95      0.925      0.818
   B-9         14         16      0.776      0.875      0.903      0.831
B-15/16          5          5      0.419        0.4      0.278      0.199
B-18/19          9          9      0.679      0.556      0.684      0.583
  B-20         20         22      0.819      0.955      0.961      0.812
  B-21         19         19       0.92      0.947      0.923      0.815
  B-22          4          4       0.56       0.25      0.259      0.259
  B-23         16         18      0.689      0.889       0.86      0.687
B-25/26         16         23      0.788      0.809      0.838      0.759
B-27/28          2          2          1      0.768      0.995      0.798
  B-32          9         12      0.913      0.667      0.707      0.582
  B-33        148        219      0.873      0.941      0.961      0.812
  B-34          3          3      0.775      0.667       0.83      0.754
  B-35          4          4      0.592       0.75      0.679      0.606
  B-36        133        142       0.88      0.978      0.966      0.827
  B-41         17         20          1      0.698      0.822      0.709
  B-42          6          7      0.798          1      0.995      0.713
  B-43         13         13          1      0.908      0.965      0.807
  B-44         10         11          1      0.793       0.86      0.802
   C-2         15         15      0.793      0.767      0.785      0.673
   C-4          6          7       0.46      0.131      0.385      0.311
   C-5         37         44      0.924      0.773       0.94      0.801
   C-6          2          2      0.587        0.5      0.531      0.478
   C-9         73         74      0.849      0.913      0.948      0.821
  C-10          2          2       0.57          1      0.995      0.947
  C-11         16         16      0.944       0.75      0.851      0.808
  C-12         90        135      0.904      0.941      0.975      0.839
  C-13         18         18      0.633      0.778      0.775      0.642
C-13/16         11         11       0.91      0.909      0.948      0.869
  C-16          5          6      0.843      0.667      0.803      0.688
   D-1         86         94      0.925      0.989      0.965      0.811
   D-2         30         41       0.95      0.902      0.964      0.822
   D-3        103        116      0.802      0.888      0.881      0.751
  D-4a          6          6          1      0.472       0.78      0.641
  D-4b          1          1          1          0      0.995      0.895
   D-5          3          3          1          0      0.699      0.559
   D-6        226        328      0.869      0.918      0.929      0.808
   D-7          7          8      0.842      0.672      0.772      0.601
   D-8          1          2      0.627        0.5      0.695       0.52
   D-9          2          3      0.782      0.667       0.68      0.579
  D-10          2          3       0.94          1      0.995      0.795
D-11/12         11         11      0.671          1      0.931      0.798
  D-14          7         12      0.856          1      0.989      0.847
D-15/16/17         49         50      0.911      0.822      0.897      0.696
  D-18         85        105      0.868      0.895      0.945      0.768
  D-23         10         10          1      0.893      0.995      0.769
 D-23a          2          2      0.723          1      0.995      0.895
  D-26          2          2      0.675        0.5      0.527      0.158
 D-26b          2          2          1          0     0.0583     0.0466
 D-26c          3          3      0.813          1      0.995        0.8
  D-27          4          4      0.621        0.5       0.63      0.582
  D-28          6          6      0.982      0.667       0.79      0.606
  D-29         10         11      0.925      0.818      0.855      0.707
  D-31          2          2          1      0.915      0.995      0.895
  D-40          2          2      0.736          1      0.995       0.85
  D-42         10         10          1      0.759      0.986      0.777
  D-43          8          8      0.542      0.625      0.559      0.485
  D-44          7          8      0.602      0.875       0.82      0.708
  D-45         12         14      0.861      0.786      0.846      0.699
  D-47          1          1      0.366          1      0.497      0.448
  D-49          1          2      0.744          1      0.995      0.895
  D-50          9          9          1      0.877      0.995       0.86
  D-52          2          2      0.535          1      0.995      0.847
 F-5/6         20         21      0.658      0.857      0.871      0.792
   F-7          2          3          1      0.917      0.995       0.91
   F-9          6          6       0.63      0.667       0.61        0.5
  F-10        108        131      0.918      0.962      0.972      0.847
  F-11         11         31      0.879      0.703      0.872      0.763
  F-14         21         21      0.975      0.952      0.967      0.761
F-21/22         16         17      0.792      0.882      0.934      0.761
   G-1         11         13          1      0.604      0.845      0.653
   G-2         11         11      0.937          1      0.995      0.836
 G-3/4          5          5      0.843        0.6      0.683      0.577
  P-8a        115        193      0.867      0.912      0.933      0.733
  P-8b         77         99      0.818      0.808       0.86      0.671
  P-8d        129        190      0.855      0.879      0.894      0.678
  P-8e         80        120       0.87      0.896      0.934      0.718
  P-8f        112        182      0.882        0.9      0.947      0.737
  P-8i         28         49      0.895      0.939      0.933      0.749
  P-9a         44         50      0.867       0.91      0.926      0.624
  P-9b         13         15      0.775      0.867      0.834      0.523
