epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.745,1.29334,5.41177,1.01655,0.7306,0.0827,0.07683,0.05487,1.04983,2.67899,0.9312,1.46271e-05,1.46271e-05,1.46271e-05
2,1590.29,1.13462,2.9146,0.94264,0.7311,0.16936,0.18633,0.14008,0.98679,1.83355,0.9182,2.90038e-05,2.90038e-05,2.90038e-05
3,2402.55,1.08853,2.17323,0.932,0.69028,0.23618,0.30817,0.23441,0.95769,1.53011,0.9032,4.309e-05,4.309e-05,4.309e-05
4,3185.74,1.04247,1.75679,0.9133,0.65981,0.37022,0.427,0.33159,0.93071,1.28585,0.90521,4.26932e-05,4.26932e-05,4.26932e-05
5,4029.14,1.00961,1.47851,0.91135,0.66636,0.43822,0.50602,0.40397,0.89904,1.15565,0.88961,4.22576e-05,4.22576e-05,4.22576e-05
6,4883.87,0.95557,1.28753,0.89315,0.58557,0.49911,0.55116,0.4409,0.88249,1.06552,0.89069,4.1822e-05,4.1822e-05,4.1822e-05
7,5732.47,0.95397,1.17503,0.89127,0.74245,0.48708,0.60673,0.48443,0.87937,1.01094,0.8843,4.13864e-05,4.13864e-05,4.13864e-05
8,6620.27,0.93549,1.08871,0.88993,0.71982,0.51931,0.65044,0.51628,0.89055,0.92389,0.88974,4.09508e-05,4.09508e-05,4.09508e-05
9,7433.51,0.92455,1.00825,0.8857,0.69919,0.59466,0.67328,0.54194,0.84625,0.90414,0.87664,4.05152e-05,4.05152e-05,4.05152e-05
10,8222.47,0.90379,0.94062,0.88009,0.63024,0.65836,0.70947,0.57417,0.84386,0.86387,0.87635,4.00796e-05,4.00796e-05,4.00796e-05
11,9132.33,0.89007,0.90265,0.87822,0.69626,0.61558,0.71167,0.58305,0.82236,0.84231,0.86631,3.9644e-05,3.9644e-05,3.9644e-05
12,9988.72,0.88829,0.87452,0.87899,0.67348,0.67372,0.7324,0.59412,0.84732,0.82449,0.87246,3.92084e-05,3.92084e-05,3.92084e-05
